domain,source
equidae.mkgp.gov.si,swh_gov_domains
erkg.gov.si,swh_gov_domains
esp.azil-test.gov.si,swh_gov_domains
espatial.gov.si,swh_gov_domains
ess.gov.si,swh_gov_domains
etkv.gov.si,swh_gov_domains
etn.gu.gov.si,swh_gov_domains
etn.gurs.sigov.si,swh_gov_domains
etor-test.mnz.gov.si,swh_gov_domains
etor.mnz.gov.si,swh_gov_domains
eua-admin.gov.si,swh_gov_domains
eua-ankete.gov.si,swh_gov_domains
eua-lms.gov.si,swh_gov_domains
eua.gov.si,swh_gov_domains
eup-ls.gov.si,swh_gov_domains
euprava-storitve-test.gov.si,swh_gov_domains
euprava-storitve.gov.si,swh_gov_domains
euprava.jep.gov.si,swh_gov_domains
euz.gov.si,swh_gov_domains
evem-sola.gov.si,swh_gov_domains
evem-test.gov.si,swh_gov_domains
evem.gov.si,swh_gov_domains
evidence-sola.gov.si,swh_gov_domains
evidence.gov.si,swh_gov_domains
evidim-test.gov.si,swh_gov_domains
evidim.gov.si,swh_gov_domains
eviz.gov.si,swh_gov_domains
evrocanje-test.gov.si,swh_gov_domains
evrocanje.gov.si,swh_gov_domains
expired.si-trust.gov.si,swh_gov_domains
extra.gov.si,swh_gov_domains
ezrlkv.gov.si,swh_gov_domains
ffws-rp.arso.gov.si,swh_gov_domains
fizicna.jep.gov.si,swh_gov_domains
fu.gov.si,swh_gov_domains
furs.gov.si,swh_gov_domains
geohub.gov.si,swh_gov_domains
geohubstage.gov.si,swh_gov_domains
geoportal.gov.si,swh_gov_domains
gis.gov.si,swh_gov_domains
gis.zgs.gov.si,swh_gov_domains
gisedit.gov.si,swh_gov_domains
gismobile.gov.si,swh_gov_domains
gisportal.gov.si,swh_gov_domains
gisserver.gov.si,swh_gov_domains
gistiles.arso.gov.si,swh_gov_domains
gistiles1.arso.gov.si,swh_gov_domains
gistiles2.arso.gov.si,swh_gov_domains
gistiles3.arso.gov.si,swh_gov_domains
gistiles4.arso.gov.si,swh_gov_domains
gospodar.gov.si,swh_gov_domains
gov.si,swh_gov_domains
help.isl.gov.si,swh_gov_domains
hfsvis.arso.gov.si,swh_gov_domains
hidopazovanja.arso.gov.si,swh_gov_domains
hrm.muza.gov.si,swh_gov_domains
imap1.posta.sigov.si,swh_gov_domains
imap2.posta.sigov.si,swh_gov_domains
imap3.posta.sigov.si,swh_gov_domains
imap4.posta.sigov.si,swh_gov_domains
imap5.posta.sigov.si,swh_gov_domains
imap6.posta.sigov.si,swh_gov_domains
imap7.posta.sigov.si,swh_gov_domains
imap8.posta.sigov.si,swh_gov_domains
imap9.posta.sigov.si,swh_gov_domains
imv-mop-test.gov.si,swh_gov_domains
imv-mop.gov.si,swh_gov_domains
intra.gov.si,swh_gov_domains
intranet-test.mzz.gov.si,swh_gov_domains
intranet.mzz.gov.si,swh_gov_domains
intrastat-surs.gov.si,swh_gov_domains
ised.gov.si,swh_gov_domains
isk.gov.si,swh_gov_domains
ismonitoring-test.arso.gov.si,swh_gov_domains
ismonitoring.arso.gov.si,swh_gov_domains
isvzd.mddsz.gov.si,swh_gov_domains
iv-test.mop.gov.si,swh_gov_domains
iv.mop.gov.si,swh_gov_domains
iza.ess.gov.si,swh_gov_domains
izrabljena.vozila.gov.si,swh_gov_domains
jep-sola.gov.si,swh_gov_domains
jep-test.gov.si,swh_gov_domains
jep.gov.si,swh_gov_domains
kadri-test.mnz.gov.si,swh_gov_domains
kadri.mnz.gov.si,swh_gov_domains
kataster.eprostor-sola.gov.si,swh_gov_domains
kataster.eprostor-test.gov.si,swh_gov_domains
kataster.eprostor.gov.si,swh_gov_domains
kos-test.arso.gov.si,swh_gov_domains
kos.arso.gov.si,swh_gov_domains
krimlb.arso.gov.si,swh_gov_domains
krpan-csd.gov.si,swh_gov_domains
krpan-ue.gov.si,swh_gov_domains
krpan.gov.si,swh_gov_domains
kvote-curs.gov.si,swh_gov_domains
lamp.gov.si,swh_gov_domains
login.muza.gov.si,swh_gov_domains
mail.ess.gov.si,swh_gov_domains
mail.gov.si,swh_gov_domains
mail1.gov.si,swh_gov_domains
mail1m.gov.si,swh_gov_domains
mail2.gov.si,swh_gov_domains
mail3.gov.si,swh_gov_domains
mail4.gov.si,swh_gov_domains
manager-cixp-si.gov.si,swh_gov_domains
manager-cixpstag-si.gov.si,swh_gov_domains
meet.ess.gov.si,swh_gov_domains
